 @ Data used in                                                                                  @
 @ Martin Lettau and Sydney Ludvigson "Consumption, Aggregat Wealth and Expected Stock Returns"  @
 @ and                                                                                           @
 @ Martin Lettau and Sydney Ludvigson "Resurrecting the (C)CAPM: A Cross-Sectional Test When 	 @
 @                                     Risk Premia Are Time-Varying" 				 @
 @																								 @
 @ See papers for a detailed description of the data.  Variables are in natural logs.  Missing   @
 @ values are denoted as -99.                                                                    @
 @ date: 9/16/99                                                                                 @
 
 @ ****** IMPORTANT ********                                                                     @ 
 @ The wealth variable is measured at the BEGINNING OF PERIOD, e.g. the observation              @
 @ in 1953Q1 is wealth as of January 1 1953!							 @
 @ This convention is different from the standard timing convention used to compute              @
 @ dividend-price ratios, which uses END OF PERIOD variables.                                    @
 
 @ Quarter consumption c  asset wealth a  labor income y    cay= c-0.3054a-0.5891y               @
 195204  8.9092682314647 10.519135280607 8.6478716136965    0.6025443217329
 195301  8.9190211651377 10.514866068861 8.6590052865672    0.6070424622986
 195302  8.9216954494499 10.514075560456 8.6712116222793    0.6027677020382
 195303  8.9176445102346 10.508471202189 8.6660883865141    0.6034462698799
 195304  8.9115910898491 10.509049666593 8.6532306635098    0.6047903674741
 195401  8.9161140432082 10.513539628024 8.6427560915872    0.6141124379485
 195402  8.9196745987021 10.519483096382 8.6392874104618    0.6179012171859
 195403  8.9316583176898 10.533533384758 8.6438204599736    0.6229237662537
 195404  8.9395490820492 10.559806246390 8.6626370300675    0.6117065929030
 195501  8.9455811187084 10.568977133823 8.6702431746808    0.6104573074786
 195502  8.9524587607409 10.575232666101 8.6930672283935    0.6019794502466
 195503  8.9583007328529 10.597033227224 8.7092507170750    0.5916303789161
 195504  8.9732552310170 10.614699470890 8.7190327773571    0.5954273532968
 195601  8.9805717307003 10.621679208112 8.7250316171948    0.5970785174897
 195602  8.9800549200804 10.641328829985 8.7316718668172    0.5866492388503
 195603  8.9806643711249 10.636046453809 8.7297187996520    0.5900223954353
 195604  8.9877531887537 10.630353443553 8.7408815688849    0.5922740980048
